"Method","Bias","RMSE","Coverage"
"Start ICC - 0",0,0,"100%"
"CoxME discretized time",-0.0046303297945222,0.0235396563798995,"100%"
"CoxME Gaussian frailty",-0.00522774537037037,0.0244335863412511,"100%"
"GLMM logit discretized",0.00467894857717863,0.0514475596173437,"99.1%"
"Martingale",-0.0242131388888889,0.0592689827405689,"91.2%"
"Cox gamma frailty (NP)",-0.0296059351851852,0.0614037710957379,"87%"
"Censoring indicators",-0.0527886370994253,0.0712664681520563,"89.4%"
"Weibull log-normal frailty - parfm",0.0135633645963324,0.0783406567374297,"95.4%"
"Proportion of event",-0.0632212496552816,0.083509162139056,"90.3%"
"Weibull log-normal frailty",-0.0695362083333333,0.113935963779957,"61.1%"
"Observed event times",-0.0877679748827309,0.128179675308159,"75%"
"Weibull combined model CoxMe",0.264540787037037,0.307777100459564,"72.7%"
"Weibull combined model frailtypack",0.358873427541055,0.395481041629143,"19.4%"
"Weibull log-normal frailty - frailtypack",NA,NA,"NaN%"
