"Method","Bias","RMSE","Coverage"
"Start ICC - 0",0,0,"100%"
"CoxME discretized time",0.0117554799589654,0.0279295777782154,"96.8%"
"CoxME Gaussian frailty",0.0110621666666667,0.0281999557786296,"96.8%"
"GLMM logit discretized",0.0191182737671223,0.0536207372292981,"96.8%"
"Martingale",-0.00789168981481481,0.0609310145128094,"88.9%"
"Cox gamma frailty (NP)",-0.0156409259259259,0.0621232469565615,"87.5%"
"Censoring indicators",-0.0407324357606056,0.0646088212332854,"90.3%"
"Proportion of event",-0.0521471937796051,0.0769481068388322,"91.7%"
"Weibull log-normal frailty - parfm",0.0288866586787443,0.0797535777600218,"92.1%"
"Weibull log-normal frailty",-0.0625514814814815,0.112496643297248,"60.6%"
"Observed event times",-0.0798177886679267,0.125655189415064,"75.5%"
"Weibull combined model CoxMe",0.311778574074074,0.342068863057247,"63.4%"
"Weibull combined model frailtypack",0.387658494532265,0.418409389343147,"18.5%"
"Weibull log-normal frailty - frailtypack",NA,NA,"NaN%"
