"scenario_id","num_hosp","sample_size","balancing_mode","icc","pop_treat_effect","lambda","cens"
157,30,41400,1,0.3,-0.2,0.115,0.5
158,30,41400,1,0.3,-0.5,0.115,0.5
159,30,41400,1,0.3,-0.2,0.012,0.5
160,30,41400,1,0.3,-0.5,0.012,0.5
177,60,21401,1,0.3,-0.2,0.115,0.5
178,60,21401,1,0.3,-0.5,0.115,0.5
179,60,21401,1,0.3,-0.2,0.012,0.5
180,60,21401,1,0.3,-0.5,0.012,0.5
209,30,65700,1,0.05,-0.2,0.115,0.5
210,30,65700,1,0.05,-0.5,0.115,0.5
211,30,65700,1,0.05,-0.2,0.012,0.5
212,30,65700,1,0.05,-0.5,0.012,0.5
213,30,125401,1,0.1,-0.2,0.115,0.5
214,30,125401,1,0.1,-0.5,0.115,0.5
215,30,125401,1,0.1,-0.2,0.012,0.5
216,30,125401,1,0.1,-0.5,0.012,0.5
217,30,364200,1,0.3,-0.2,0.115,0.5
218,30,364200,1,0.3,-0.5,0.115,0.5
219,30,364200,1,0.3,-0.2,0.012,0.5
220,30,364200,1,0.3,-0.5,0.012,0.5
229,60,35700,1,0.05,-0.2,0.115,0.5
230,60,35700,1,0.05,-0.5,0.115,0.5
231,60,35700,1,0.05,-0.2,0.012,0.5
232,60,35700,1,0.05,-0.5,0.012,0.5
233,60,65400,1,0.1,-0.2,0.115,0.5
234,60,65400,1,0.1,-0.5,0.115,0.5
235,60,65400,1,0.1,-0.2,0.012,0.5
236,60,65400,1,0.1,-0.5,0.012,0.5
237,60,184200,1,0.3,-0.2,0.115,0.5
238,60,184200,1,0.3,-0.5,0.115,0.5
239,60,184200,1,0.3,-0.2,0.012,0.5
240,60,184200,1,0.3,-0.5,0.012,0.5
397,30,41400,1,0.3,-0.2,0.115,5
398,30,41400,1,0.3,-0.5,0.115,5
399,30,41400,1,0.3,-0.2,0.012,5
400,30,41400,1,0.3,-0.5,0.012,5
417,60,21401,1,0.3,-0.2,0.115,5
418,60,21401,1,0.3,-0.5,0.115,5
419,60,21401,1,0.3,-0.2,0.012,5
420,60,21401,1,0.3,-0.5,0.012,5
449,30,65700,1,0.05,-0.2,0.115,5
450,30,65700,1,0.05,-0.5,0.115,5
451,30,65700,1,0.05,-0.2,0.012,5
452,30,65700,1,0.05,-0.5,0.012,5
453,30,125401,1,0.1,-0.2,0.115,5
454,30,125401,1,0.1,-0.5,0.115,5
455,30,125401,1,0.1,-0.2,0.012,5
456,30,125401,1,0.1,-0.5,0.012,5
457,30,364200,1,0.3,-0.2,0.115,5
458,30,364200,1,0.3,-0.5,0.115,5
459,30,364200,1,0.3,-0.2,0.012,5
460,30,364200,1,0.3,-0.5,0.012,5
